Nº de inscripción;Categoría;Nombre;Especialidad: ;Régimen: ;Provincia;Municipio;CP;Dirección;Correo electrónico;Sitio web;Teléfono;Nº plazas totales;Fecha alta;Periodo
CV-ARU000148-V;DOS ESTRELLAS;CASA CAMILA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;JALANCE;46624;C IGLESIA 3;;;963805947;6;18/11/2002;No especificado
CV-ARU000294-V;DOS ESTRELLAS;CASA RURAL PALAZ 1;;NO COMPARTIDA;VALENCIA/VALÈNCIA;TERESA DE COFRENTES;46622;C CASICAS DE PIERA 265;info@alojamientoruralpalaz.com;http://www.alojamientoruralpalaz.com;962191076;6;24/07/2006;[Anual]
CV-ARU000295-V;DOS ESTRELLAS;CASA RURAL PALAZ 2;;NO COMPARTIDA;VALENCIA/VALÈNCIA;TERESA DE COFRENTES;46622;C CASICAS DE PIERA 265;info@alojamientoruralpalaz;http://www.alojamientoruralpalaz.com;962191076;6;24/07/2006;[Anual]
CV-ARU000232-V;DOS ESTRELLAS;CA SUNSI;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ANTELLA;46266;C PINTOR SOROLLA 7;;;962595286;8;12/11/2004;No especificado
CV-ARU000588-V;DOS ESTRELLAS;CRESOLERA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;VILALLONGA/VILLALONGA;46720;C CERVANTES 17;vicentebertomeu@hotmail.com;;616018044;4;06/05/2022;[Anual]
CV-ARU000419-V;DOS ESTRELLAS;SANSOFI;;NO COMPARTIDA;VALENCIA/VALÈNCIA;LLAURÍ;46613;C COVA SANTA 9;casarural.sansofi@gmail.com;http://casarural-sansofi.com;630906446;5;05/03/2012;[Anual]
CV-ARU000360-V;DOS ESTRELLAS;LA ALAMEDA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ANNA;46820;C ARRIBA 21;;;962210064;6;30/06/2008;[Anual]
CV-ARU000050-V;DOS ESTRELLAS;EL CARRASCAL;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ANNA;46820;PD CARRASCAL S/N;casaelcarrascal@yahoo.es;http://www.agrotur.org;962210532;6;13/09/2000;No especificado
CV-ARU000034-V;DOS ESTRELLAS;LA CASA DEL LAGO;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ANNA;46820; Paraje Albufera de Anna 12;lagoanna@gmail.com;http://lagodeanna.com;616789058;6;27/07/1999;No especificado
CV-ARU000501-V;DOS ESTRELLAS;LA CASTELLANA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BICORP;46825;AV CASTELLANA 11;hobbymotorvalencia@gmail.com;https://casacastellana.es;686 266 273;16;03/08/2017;[Anual]
CV-ARU000336-V;DOS ESTRELLAS;BARRANCO MORENO;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BICORP;46825;UR PARAJE BARRANCO MORENO, POL.8 PARC. 5;barrancomorenobicorp@gmail.com;http://casaruralbarrancomoreno.com;615 621 421;8;27/12/2007;[Anual]
CV-ARU000434-V;DOS ESTRELLAS;LA SOLANA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BICORP;46825;PO 16 PARCELA 37;barrancomorenobicorp@gmail.com;;675830745;6;21/11/2012;[Anual]
CV-ARU000175-V;DOS ESTRELLAS;CASA DE MADERA I;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BICORP;46825; PARAJE LA LAMPARA ;ruralbicorp@gmail.com;http://ruralbicorp.es;654 507 242;6;04/08/2003;No especificado
CV-ARU000182-V;DOS ESTRELLAS;CASA DE MADERA II;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BICORP;46825; PARAJE LA LAMPARA ;ruralbicorp@gmail.com;http://ruralbicorp.es;654 507 242;4;04/08/2003;No especificado
CV-ARU000483-V;DOS ESTRELLAS;LOS CIPRESES;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BOLBAITE;46822;C HONDA 92;;;655346249;8;21/06/2016;[Anual]
CV-ARU000444-V;DOS ESTRELLAS;EL PUENTE;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BOLBAITE;46822;C DEL RIO 12;elpuenterural@gmail.com;;658323446;6;31/05/2013;[Anual]
CV-ARU000288-V;DOS ESTRELLAS;LERA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BOLBAITE;46822;C CANALEJAS 9;tessa1413@hotmail.com;;962223093;10;28/02/2006;No especificado
CV-ARU000428-V;DOS ESTRELLAS;LA PARAETA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CHELLA;46821;PD DISEMINADOS 277 POLIGONO 9 PARCELA 35;;;636781983;6;13/07/2012;[Anual]
CV-ARU000572-V;DOS ESTRELLAS;COMPLEJO RURAL LA MONTAÑA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CHELLA;46821;CM SOTARRAÑA 220;jjbellot@gmail.com;;686451378;12;14/06/2021;[Anual]
CV-ARU000576-V;DOS ESTRELLAS;EL FALCO;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CHELLA;46821;PD LLANO CAMPANERO  POL 13 PARCELAS 100 -102;casaruralelfalco@gmail.com;http://www.casaruralelfalco.com;609672927;6;22/10/2021;[Anual]
CV-ARU000407-V;DOS ESTRELLAS;LA MONTAÑA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CHELLA;46821;CM de la Sotarraña parcela 332;jjbellot@gmail.com;https://www.facebook.com/complejorural;686451378;12;01/06/2011;[Anual]
CV-ARU000248-V;DOS ESTRELLAS;LA SOÑADORA II;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;CR CASAS DE NAVALÓN ;;;962245251;6;27/04/2005;No especificado
CV-ARU000249-V;DOS ESTRELLAS;LA MIMOSA II;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;CR CASAS DE NAVALÓN ;;;962245251;6;27/04/2005;No especificado
CV-ARU000220-V;DOS ESTRELLAS;CASERIO DE BENALI EL SENDERO;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;CR de Benali KM18 (CV584) CASA,DE BENALÍ 1;mail@casasbenali.com;https://es.casasbenali.com;637 454 088;2;22/09/2004;No especificado
CV-ARU000222-V;DOS ESTRELLAS;CASERIO DE BENALI LA HACIENDA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;CR de Benali KM18 (CV584) CASA DE BENALÍ 3;mail@casasbenali.com;https://es.casasbenali.com;637 454 088;12;22/09/2004;No especificado
CV-ARU000138-V;DOS ESTRELLAS;CA JULIA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810; CASAS DE REQIUENA ;;http://www.turcaroig.com/julia;962260546;12;31/07/2002;No especificado
CV-ARU000127-V;DOS ESTRELLAS;LA SOÑADORA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46811;CR NAVALÓN-CASAS DE REQUENA S/N;;;962245251;6;07/05/2002;No especificado
CV-ARU000124-V;DOS ESTRELLAS;LA MIMOSA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;CR CASAS DE REQUENA-NAVALÓN S/N;;;962245251;6;08/03/2002;No especificado
CV-ARU000380-V;DOS ESTRELLAS;CASA DEL NIÑO;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;C NIÑO JESUS 18;dolores@enguera.com;;647850851;4;31/07/2009;[Anual]
CV-ARU000040-V;DOS ESTRELLAS;BENALAZ;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810; FINCA BENALAZ ;benalaz@paralelo40.org;http://www.turcaroig.com/benalaz;962225664;9;22/03/2000;No especificado
CV-ARU000067-V;DOS ESTRELLAS;EL SAYTON;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;PD EL SAYTON-CRTA. BENIALÍ, KM. 7 ;vabad@caroig.com;http://www.turcaroig.com/sayton;696967022;10;08/01/2001;No especificado
CV-ARU000319-V;DOS ESTRELLAS;L'ARNADÍ;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CERDÀ;46813;CR REAL DE MADRID 15;;;659909373;10;06/07/2007;[Anual]
CV-ARU000313-V;DOS ESTRELLAS;CASA ISABELLA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;XÀTIVA;46800;C CORRETGERIA 61;acsc@mac.com;http://www.casaisabellaxativa.com;659976922;6;10/04/2007;[Anual]
CV-ARU000539-V;DOS ESTRELLAS;CASA DE CALIZ;;NO COMPARTIDA;VALENCIA/VALÈNCIA;XÀTIVA;46800;C FUMERAL 10;calizvila@gmail.com;;664866534;8;26/07/2019;[Anual]
CV-ARU000169-V;DOS ESTRELLAS;CASA BERNABÉ;;NO COMPARTIDA;VALENCIA/VALÈNCIA;XÀTIVA;46800; POLÍGONO 16-PARCELA 29 DE LA PARTIDA DE BISQUERT ;casabernabe@casabernabe.com;http://www.casabernabe.com;661277322;12;21/05/2003;No especificado
CV-ARU000277-V;DOS ESTRELLAS;ELS URREPS;;NO COMPARTIDA;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;UR CUMBRES DE VALENCIA-PARCELA 181 ;;;962260102;8;19/07/2005;No especificado
CV-ARU000436-V;DOS ESTRELLAS;EL PARAIS;;NO COMPARTIDA;VALENCIA/VALÈNCIA;AGULLENT;46890;CM del Parais S/N Polígono 5, Parcela 207;info@casaruralelparais.com;http://www.casaruralelparais.com;961117400;10;28/01/2013;[Anual]
CV-ARU000133-V;DOS ESTRELLAS;CASA ROTJA I;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BELLÚS;46839;PD BALADRET 1;arnaumr@gmail.com;casarotja.com;963515153;5;25/05/2002;No especificado
CV-ARU000134-V;DOS ESTRELLAS;CASA ROTJA II;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BELLÚS;46839;PD BALADRET 1;arnaumr@gmail.com;casarotja.com;963515153;10;25/05/2002;No especificado
CV-ARU000236-V;DOS ESTRELLAS;ENTRE OLIVOS I;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BENICOLET;46838;CM VIEJO DE GANDIA S/N;;;630882000;2;13/12/2004;No especificado
CV-ARU000237-V;DOS ESTRELLAS;ENTRE OLIVOS II;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BENICOLET;46838;CM VIEJO DE GANDIA S/N;;;630882000;2;13/12/2004;No especificado
CV-ARU000238-V;DOS ESTRELLAS;ENTRE OLIVOS III;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BENICOLET;46838;CM VIEJO DE GANDÍA S/N;;;630882000;2;13/12/2004;No especificado
CV-ARU000239-V;DOS ESTRELLAS;ENTRE OLIVOS IV;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BENICOLET;46838;CM VIEJO DE GANDÍA S/N;;;630882000;2;13/12/2004;No especificado
CV-ARU000452-V;DOS ESTRELLAS;BEKIRENT;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;C OBISPO MAIQUES 31;infocasaruralbekirent@gmail;;60104446;11;05/03/2014;[Anual]
CV-ARU000402-V;DOS ESTRELLAS;LA LLAR DE LAURA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;C Mossen Hilario 29;lallardelaurabocairent@gmail.com;http://www.lallardelaura.com;639 520 916;7;10/12/2010;[Anual]
CV-ARU000352-V;DOS ESTRELLAS;SANT VICENT;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PL SANT VICENT 11;info@santvicent.com;http://www.santvicent.com;660736774;12;30/04/2008;[Anual]
CV-ARU000266-V;DOS ESTRELLAS;EL MIRADOR DE SANT VICENT;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46680;C BATLLE 17;info@casaruralmirador.es;http://www.casaruralmirador.es;678575488;8;20/09/2005;[Anual]
CV-ARU000140-V;DOS ESTRELLAS;LA HERETAT DE PERE;;NO COMPARTIDA;VALENCIA/VALÈNCIA;QUATRETONDA;46837;PD SIMONA ;simona@heretat.com;http://www.heretat.com;962132269;12;02/08/2002;No especificado
CV-ARU000309-V;DOS ESTRELLAS;LA CASA DE LA VILA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ONTINYENT;46870;C TRINITAT 50;voraserra@hotmail.com;;962914452;8;28/02/2007;[Anual]
CV-ARU000173-V;DOS ESTRELLAS;FINCA SANTA ELENA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;ONTINYENT;46870;PD Umbria-Crta. Ontinyent-Fontanars(CV-655), KM.9 ;info@fincasantaelena.es;http://www.fincasantaelena.es;;16;26/06/2003;No especificado
CV-ARU000476-V;DOS ESTRELLAS;VENTA GAETA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CORTES DE PALLÁS;46199;C Nueva 13;ventagaetarural@gmail.com;http://www.ventagaetarural.com;690916868;10;18/12/2015;[Anual]
CV-ARU000302-V;DOS ESTRELLAS;LA ALBORADA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CORTES DE PALLÁS;46199;C VIÑUELAS 30;;;677655952;4;14/12/2006;[Anual]
CV-ARU000259-V;DOS ESTRELLAS;ALALIMON;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CORTES DE PALLÁS;46199;C Cantón 30;alalimonrural@hotmail.com;https://www.facebook.com/alalimonruralizate;609709556;10;27/04/2005;No especificado
CV-ARU000628-V;DOS ESTRELLAS; VILLA PEDRON;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CORTES DE PALLÁS;46199;ALDEA DE LA CABEZUELA Nº 18;villapedron22@gmail.com;;696010396;6;17/04/2024;[Anual]
CV-ARU000162-V;DOS ESTRELLAS;LA CASONA DE FERRANDO;;NO COMPARTIDA;VALENCIA/VALÈNCIA;BARX;46758;AV LUIS PERICOT-LA DROVA 61;;;962807343;8;27/02/2003;No especificado
CV-ARU000565-V;DOS ESTRELLAS;CASA RAFAEL;;NO COMPARTIDA;VALENCIA/VALÈNCIA;CARRÍCOLA;46869;PL CONSTITUCION 3;casarafaelcarricola@hotmail.com;;676960341;6;19/11/2020;[Anual]
CV-ARU000244-V;DOS ESTRELLAS;LA CARRASCA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;PUEBLA DE SAN MIGUEL;46140;C Sol 15;info@ruralpuebladesanmiguel.com;http://www.ruralpuebladesanmiguel.com;629607809;4;02/03/2005;No especificado
CV-ARU000245-V;DOS ESTRELLAS;PINO ALBAR;;NO COMPARTIDA;VALENCIA/VALÈNCIA;PUEBLA DE SAN MIGUEL;46140;C Sol 15;info@ruralpuebladesanmiguel.com;http://www.ruralpuebladesanmiguel.com;629607809;4;02/03/2005;No especificado
CV-ARU000246-V;DOS ESTRELLAS;SABINA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;PUEBLA DE SAN MIGUEL;46140;C Sol 15;info@ruralpuebladesanmiguel.com;http://www.ruralpuebladesanmiguel.com;629607809;6;02/03/2005;No especificado
CV-ARU000228-V;DOS ESTRELLAS;LA GARDUÑA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;TORREBAJA;46143;C La Fuente 29;lagarduna29@mixmail.com;;652024539;9;22/09/2004;No especificado
CV-ARU000301-V;DOS ESTRELLAS;LA BOTICARIA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;VILLAR DEL ARZOBISPO;46170;C ROQUE 3;;;645984537;14;14/12/2006;[Anual]
CV-ARU000200-V;DOS ESTRELLAS;LA CASICA;;NO COMPARTIDA;VALENCIA/VALÈNCIA;YESA, LA;46187;C PEDRO VILLANUEVA 3;reservas@zuriaga.com;http://www.layesa.com/menu_i.htm;963650767;8;30/01/2004;No especificado
CV-ARU000102-V;DOS ESTRELLAS;LA CASA DEL TIO POLDO;;NO COMPARTIDA;VALENCIA/VALÈNCIA;YESA, LA;46178;C CALVO SOTELO 20;reservas@zuriaga.com;http://www.zuriaga.com/casarural;963650767;12;29/11/2001;No especificado
CV-ARU000161-V;DOS ESTRELLAS;EL BARDAL;;NO COMPARTIDA;VALENCIA/VALÈNCIA;YESA, LA;46178;C EUSEBIO TORRES 35;reservas@layesa.com;http://www.layesa.com/elbardal.htm;963650767;6;17/02/2003;No especificado
CV-ARU000077-V;DOS ESTRELLAS;CASA GARRIDO;;COMPARTIDA;VALENCIA/VALÈNCIA;ADEMUZ;46140;C Solano 6;pregunta@casaruralgarrido.com;http://www.casaruralgarrido.com;630924149;10;01/03/2001;No especificado
CV-ARU000375-V;DOS ESTRELLAS;LA MURALLA;;COMPARTIDA;VALENCIA/VALÈNCIA;ANDILLA;46162;PL LA MURALLA 5;ayuntamientoandilla@hotmail.com;http://www.andilla.es;962729005;6;13/05/2009;[Anual]
CV-ARU000600-V;DOS ESTRELLAS;CASA DEL ARCO;;COMPARTIDA;VALENCIA/VALÈNCIA;CASAS ALTAS;46147;C MOLINO 57;info@housevanlive.com;http://www.housevanlive.com;619858093;6;25/04/2023;[Anual]
CV-ARU000383-V;DOS ESTRELLAS;LOS GARRIDOS;;COMPARTIDA;VALENCIA/VALÈNCIA;CASAS BAJAS;46146;C del Puente 53;;http://casalosgarridos.info;978782683;13;15/03/2010;[Anual]
CV-ARU000205-V;DOS ESTRELLAS;LA JARA;;COMPARTIDA;VALENCIA/VALÈNCIA;NAVARRÉS;46823;C MAYOR 28;;;962267286;12;29/03/2004;No especificado
CV-ARU000356-V;DOS ESTRELLAS;CAL FERRER;;COMPARTIDA;VALENCIA/VALÈNCIA;SIMAT DE LA VALLDIGNA;46750;AV FONT MENOR 48;calferrer51@gmail.com;https://casaruralenvalencia.com;(+34) 617 674 533;10;30/04/2008;[Anual]
CV-ARU000570-V;DOS ESTRELLAS;LOS MOLINOS;;COMPARTIDA;VALENCIA/VALÈNCIA;GÁTOVA;46169;C ERAS 11;manolohervas5@hotmail.com;;647029119;2;16/06/2021;[Anual]
CV-ARU000030-V;DOS ESTRELLAS;CASA EL JARRAL;;COMPARTIDA;VALENCIA/VALÈNCIA;JARAFUEL;46623;CLC JARRAL 15;;;669827166;10;26/04/1999;No especificado
CV-ARU000461-V;DOS ESTRELLAS;CA TONA;;COMPARTIDA;VALENCIA/VALÈNCIA;CHULILLA;46167;C ERAS 1;;http://casaruralcatoma.com;677510187;5;30/10/2014;[Anual]
CV-ARU000370-V;DOS ESTRELLAS;LA BARANDA;;COMPARTIDA;VALENCIA/VALÈNCIA;CHULILLA;46167;C  VENERABLE JOSE CERCERA 5;;;961657975;16;27/02/2009;[Anual]
CV-ARU000168-V;DOS ESTRELLAS;CASA SERENA;;COMPARTIDA;VALENCIA/VALÈNCIA;CHULILLA;46167;C TURIA 39;lacasaserenaturismo@msn.com;http://www.casaruralserenachulilla.com;961657083;9;21/05/2003;No especificado
CV-ARU000513-V;DOS ESTRELLAS;HIGUERUELAS;;COMPARTIDA;VALENCIA/VALÈNCIA;HIGUERUELAS;46162;AV LA FUENTE 13;higueruelas_info@gva.es;http://www.higueruelas.es;962726130;6;27/04/2018;[Anual]
CV-ARU000324-V;DOS ESTRELLAS;LA SERRANA;;COMPARTIDA;VALENCIA/VALÈNCIA;LOSA DEL OBISPO;46168;C COLON 1-3;casarural.laserrana@hotmail.com;http://www.casalaserrana.com;682805239;12;28/09/2007;[Anual]
CV-ARU000455-V;DOS ESTRELLAS;HUERTO DEL MEDICO - CASA DE ABAJO;;COMPARTIDA;VALENCIA/VALÈNCIA;GUADASSUAR;46680;CR CV 525 ALGINET - ALGEMESI PK 3;tardemajestad@gmail.com;http://huertodelmedico.es;629407223;4;25/06/2014;[Anual]
CV-ARU000512-V;DOS ESTRELLAS;CASA SIBARITA;;COMPARTIDA;VALENCIA/VALÈNCIA;RAFELGUARAF;46666;C Sant Lluis Gonzaga 40;info@casasibarita.com;https://www.casasibarita.com;962586037;10;27/04/2018;[Anual]
CV-ARU000457-V;DOS ESTRELLAS;TOTESTIU;;COMPARTIDA;VALENCIA/VALÈNCIA;SUMACÀRCER;46295;C Comtes d'Orgaz 10;info@totestiu.com;https://totestiu.com;652 848 016;10;11/07/2014;[Anual]
CV-ARU000048-V;DOS ESTRELLAS;GRANJA SAN MIGUEL;;COMPARTIDA;VALENCIA/VALÈNCIA;SALEM;46843;C BENICADELL 10;info@casasanmiguel.com;http://www.casasanmiguel.com;962883515;15;20/07/2000;No especificado
CV-ARU000463-V;DOS ESTRELLAS;EL BALCON DE LA SAFOR;;COMPARTIDA;VALENCIA/VALÈNCIA;ADOR;46724;C ERMITA 46;info@elbalcondelasafor.com;elbalcondelasafor.com;654 306 922;15;17/11/2014;[Anual]
CV-ARU000521-V;DOS ESTRELLAS;LA CASA DEL PICH;;COMPARTIDA;VALENCIA/VALÈNCIA;LLÍRIA;46160;C CISNEROS 26;diazbuenoandrea24@gmail.com;;635595304;7;26/07/2018;[Anual]
CV-ARU000209-V;DOS ESTRELLAS;EL SECANET;;COMPARTIDA;VALENCIA/VALÈNCIA;ALGÍMIA D'ALFARA;46148;C TORRES TORRES 25;info@elsecanet.com;http://www.elsecanet.com;962626527;6;10/05/2004;No especificado
CV-ARU000247-V;DOS ESTRELLAS;PATÍ DE LA IAIA;;COMPARTIDA;VALENCIA/VALÈNCIA;BENIFAIRÓ DE LES VALLS;46511;C MAJOR 28;;;636659429;12;02/03/2005;No especificado
CV-ARU000264-V;DOS ESTRELLAS;BETANIA II;;COMPARTIDA;VALENCIA/VALÈNCIA;SEGART;46592;UR EL RODENO - PARCELA 371 ;;;962136130;11;07/06/2005;No especificado
CV-ARU000450-V;DOS ESTRELLAS;CALVESTRA;;COMPARTIDA;VALENCIA/VALÈNCIA;REQUENA;46340;CR Villar de Olmos - Km 5,7 ;info@calvestra.com;https://www.calvestra.com;96 165 53 44;15;19/12/2013;[Anual]
CV-ARU000473-V;DOS ESTRELLAS;EL ARRULLO;;COMPARTIDA;VALENCIA/VALÈNCIA;REQUENA;46390;B DON JAIME    (SAN JUAN) 1;info@elarrullo.com;http://www.elarrullo.com;695796021;8;16/11/2015;[Anual]
CV-ARU000234-V;DOS ESTRELLAS;VILLA DOLORES;;COMPARTIDA;VALENCIA/VALÈNCIA;VILLARGORDO DEL CABRIEL;46317;CR VILLARGORDO DEL CABRIEL A CAMPORROBLES, km. 2 ;villa.dolores@yahoo.es;;962186303;12;12/11/2004;No especificado
CV-ARU000088-V;DOS ESTRELLAS;CASA CABRIEL;;COMPARTIDA;VALENCIA/VALÈNCIA;VILLARGORDO DEL CABRIEL;46317;C MADRID S/N;franguaita@hotmail.com;http://www.casacabriel.com;670320073;15;24/06/2001;No especificado
CV-ARU000548-V;DOS ESTRELLAS;CERVANTES 22;;COMPARTIDA;VALENCIA/VALÈNCIA;BUÑOL;46360;C CERVANTES 22;anamigi6@hotmail.com;https://cervantes22.negocio.site/;619308096;11;17/02/2020;[Anual]
CV-ARU000314-V;DOS ESTRELLAS;MASIA EL FERRAJON;;COMPARTIDA;VALENCIA/VALÈNCIA;CHIVA;46370;PD DE COBATILLAS S/N;info@masiaelferrajon.com;http://masiaelferrajon.com;963338748;12;10/04/2007;[Anual]
CV-ARU000458-V;DOS ESTRELLAS;CASITA SANTA BARBARA;;COMPARTIDA;VALENCIA/VALÈNCIA;MACASTRE;46368;AV BOLOT 15;;http://www.casitasantabarbara.com;962516900;5;19/08/2014;[Anual]
CV-ARU000032-V;DOS ESTRELLAS;LA POSADICA;;COMPARTIDA;VALENCIA/VALÈNCIA;MACASTRE;46368;AV HOYA DE BUÑOL 31;angelesllacer@hotmail.com;;675099534;7;25/05/1999;No especificado
CV-ARU000287-V;DOS ESTRELLAS;SAN JOSÉ;;COMPARTIDA;VALENCIA/VALÈNCIA;AYORA;46620;CLC SAN JOSÉ 1;;;654381040;8;20/02/2006;No especificado
CV-ARU000233-V;DOS ESTRELLAS;MARQUESA 27;;COMPARTIDA;VALENCIA/VALÈNCIA;AYORA;46620;C MARQUESA 27;antonio@casaruralmarquesa27.com;http://www.casaruralmarquesa27.com/;962192002;12;12/11/2004;No especificado
CV-ARU000101-V;DOS ESTRELLAS;FINCA EL REBOLLOSO;;COMPARTIDA;VALENCIA/VALÈNCIA;AYORA;46620; FINCA EL REBOLLOSO ;;;962121035;11;29/11/2001;No especificado
CV-ARU000633-V;DOS ESTRELLAS;DJM PALMS;;COMPARTIDA;VALENCIA/VALÈNCIA;AYORA;46620;BAÑOS DE SAN ANTONIO 15;djmpalmsbandb@outlook.es;www.djmpalmsbandb.es;624614557;12;15/05/2024;[Anual]
CV-ARU000532-V;DOS ESTRELLAS;FINCA EL CORONEL;;COMPARTIDA;VALENCIA/VALÈNCIA;BENICULL DE XÚQUER;46689;CM FUNDACION GOZALBO MARQUES 20;grupoesla@yahoo.es;http://www.casasolidariafgm.org;(+34) 671 495 230;16;31/01/2019;[Anual]
CV-ARU000126-V;DOS ESTRELLAS;EL MIRADOR DEL SALTO;;COMPARTIDA;VALENCIA/VALÈNCIA;CHELLA;46821;C IGLESIA VIEJA 42;;http:/www.turcaroig.com/salto;667439278;10;10/04/2002;No especificado
CV-ARU000221-V;DOS ESTRELLAS;CASERIO DE BENALI LA CAMPIÑA;;COMPARTIDA;VALENCIA/VALÈNCIA;ENGUERA;46810;CR de Benali KM18 (CV584) CASAS DE BENALÍ 2;mail@casasbenali.com;https://es.casasbenali.com;637 454 088;12;22/09/2004;No especificado
CV-ARU000363-V;DOS ESTRELLAS;ALDOMAR;;COMPARTIDA;VALENCIA/VALÈNCIA;XÀTIVA;46800;C Bosch 11;casa.aldomar@gmail.com;http://www.casa-aldomar.com;962276563;9;12/12/2008;No especificado
CV-ARU000006-V;DOS ESTRELLAS;CORRAL PABLANCH;;COMPARTIDA;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CR Navalón s/n;elcorraldepablanch@hotmail.es;https://www.facebook.com/El-Corral-De-Pablanch-585604318116398;607322686;12;07/08/1997;No especificado
CV-ARU000046-V;DOS ESTRELLAS;LA BODEGA;;COMPARTIDA;VALENCIA/VALÈNCIA;MOIXENT/MOGENTE;46640;CM de la Bodega km 1.5 ;bodegarural@gmail.com;http://www.labodegacasarural.es;645993553;8;08/06/2000;No especificado
CV-ARU000212-V;DOS ESTRELLAS;EL PANSAT;;COMPARTIDA;VALENCIA/VALÈNCIA;ALBAIDA;46860;PD FANECAES S/N;info@elpansat.com;;607167167;12;10/06/2004;No especificado
CV-ARU000207-V;DOS ESTRELLAS;ENTRE VIEJOS OLIVOS;;COMPARTIDA;VALENCIA/VALÈNCIA;BENICOLET;46838;CM VIEJO DE GANDIA S/N;;http://www.entreviejosolivos.com/;619365580;2;26/04/2004;No especificado
CV-ARU000260-V;DOS ESTRELLAS;EL MIRADOR DE MARIOLA;;COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PL SANT VICENT 12;reservas@casaruralmirador.es;casaruralmirador.es;620191620;15;24/05/2005;[Anual]
CV-ARU000267-V;DOS ESTRELLAS;MIRADOR;;COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;C BATLE 19;reservas@casaruralmirador.es;http://www.casaruralmirador.es;620191620;14;12/07/2005;[Anual]
CV-ARU000129-V;DOS ESTRELLAS;EL REFUGIO;;COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PD RINCÓN DEL CEREZO 31;info@yeguadamariola.com;http://www.yeguadamariola.com;680006884;10;07/05/2002;No especificado
CV-ARU000105-V;DOS ESTRELLAS;MAS L'ALTET DE MARIOLA;;COMPARTIDA;VALENCIA/VALÈNCIA;BOCAIRENT;46880;PD LES TORRETES ;xbeneyto@servicam.com;http://webs.ono.com/altetdemariola;966083198;6;14/12/2001;No especificado
